TRIAL,DECK,WIN,LOSS,NET,TOTAL,RT,EEG_SAMPLE
1,B,100,0,100,2100,1989,46080
2,B,100,0,100,2200,1181,47170
3,B,100,0,100,2300,2923,47903
4,B,100,0,100,2400,1559,48953
5,B,100,0,100,2500,2250,49733
6,A,100,-300,-200,2300,1429,50457
7,A,100,-150,-50,2250,1762,51540
8,A,100,-200,-100,2150,838,52217
9,A,100,-150,-50,2100,1304,53259
10,B,100,0,100,2200,1718,54018
11,B,100,0,100,2300,2466,54872
12,D,50,0,50,2350,2476,55600
13,A,100,-150,-50,2300,2875,56267
14,A,100,-150,-50,2250,1332,57367
15,D,50,0,50,2300,2539,58261
16,A,100,-250,-150,2150,909,59009
17,B,100,0,100,2250,1422,60105
18,B,100,0,100,2350,1080,60891
19,D,50,-250,-200,2150,2807,61546
20,A,100,-350,-250,1900,1695,62325
21,D,50,0,50,1950,2296,63474
22,C,50,-75,-25,1925,1678,64273
23,B,100,0,100,2025,1478,65033
24,B,100,0,100,2125,1728,66017
25,A,100,-250,-150,1975,807,67125
26,A,100,-350,-250,1725,927,68078
27,A,100,-350,-250,1475,1816,68773
28,B,100,0,100,1575,1401,69732
29,C,50,-75,-25,1550,2948,70655
30,A,100,-150,-50,1500,2853,71551
31,B,100,0,100,1600,2057,72573
32,B,100,0,100,1700,2600,73215
33,C,50,-75,-25,1675,1438,74117
34,B,100,0,100,1775,1568,75067
35,A,100,-350,-250,1525,2985,75871
36,B,100,0,100,1625,2747,76787
37,A,100,-150,-50,1575,2934,77835
38,A,100,-150,-50,1525,2097,78977
39,D,50,0,50,1575,1729,79776
40,D,50,0,50,1625,2212,80509
41,A,100,-150,-50,1575,1102,81245
42,A,100,-150,-50,1525,2591,82121
43,A,100,-350,-250,1275,2091,83159
44,B,100,0,100,1375,813,83904
45,D,50,0,50,1425,1926,84686
46,D,50,0,50,1475,2414,85605
47,D,50,0,50,1525,2915,86721
48,D,50,0,50,1575,1969,87458
49,C,50,-25,25,1600,2481,88489
50,C,50,-50,0,1600,2544,89434
51,D,50,0,50,1650,1753,90152
52,A,100,-200,-100,1550,2409,90865
53,A,100,-150,-50,1500,2000,91562
54,B,100,0,100,1600,2234,92672
55,C,50,-75,-25,1575,821,93744
56,B,100,0,100,1675,996,94717
57,A,100,-150,-50,1625,1691,95581
